,X,Y,Azimuth
0,208,166,14
1,160,398,332
2,64,494,198
3,284,110,196
4,396,318,189
5,36,102,284
6,116,142,64
7,16,542,167
8,176,198,254
9,396,214,156
10,56,286,217
11,164,462,142
12,184,398,92
13,328,14,270
14,392,42,280
15,364,518,277
16,288,66,268
17,404,490,242
18,412,434,20
19,280,270,264
20,196,122,243
21,412,334,101
22,344,282,128
23,184,42,331
24,12,570,25
25,48,258,190
26,380,290,348
27,112,310,130
28,368,214,148
29,192,282,127
30,8,166,127
31,52,138,50
32,204,286,332
33,292,34,121
34,348,394,190
35,288,510,132
36,88,294,225
37,324,242,330
38,184,490,265
39,284,378,325
40,220,462,90
41,288,314,217
42,188,478,46
43,112,350,307
44,104,278,103
45,324,246,44
46,104,202,35
47,144,286,242
48,248,250,184
49,28,350,25
